PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH CITY,BIRTH STATE,BIRTH COUNTRY,PLAY DEBUT,PLAY LASTGAME,MGR DEBUT,MGR LASTGAME,COACH DEBUT,COACH LASTGAME,UMP DEBUT,UMP LASTGAME,DEATHDATE,DEATH CITY,DEATH STATE,DEATH COUNTRY,BATS,THROWS,HEIGHT,WEIGHT,CEMETERY,CEME CITY,CEME STATE,CEME COUNTRY,CEME NOTE,BIRTH NAME,NAME CHG,BAT CHG,HOF
freid101,Freisleben,"David James","Dave","10/31/1951","Coraopolis","Pennsylvania","USA","04/26/1974","09/30/1979",,,,,,,,,,,R,R,"5-11",195,,,,,,,,,NOT
freih101,Freigau,"Howard Earl","Howard","08/01/1902","Dayton","Ohio","USA","09/13/1922","09/29/1928",,,,,,,"07/18/1932","Chattanooga","Tennessee","USA",R,R,"5-10.5",160,"Woodland Cemetery","Dayton","Ohio","USA",,,,,NOT
frein001,Freiman,"Nathan Samuel","Nate","12/31/1986","Washington","D.C.","USA","04/03/2013","09/30/2014",,,,,,,,,,,R,R,"6-08",250,,,,,,,,,NOT
freit101,Freitas,"Antonio","Tony","05/05/1908","Mill Valley","California","USA","05/31/1932","05/31/1936",,,,,,,"03/14/1994","Orangevale","California","USA",R,L,"5-08",161,"St. Mary Catholic Cemetery","Sacramento","California","USA",,,,,NOT
freiv101,Freiburger,"Vern Donald","Vern","12/19/1923","Detroit","Michigan","USA","09/06/1941","09/15/1941",,,,,,,"02/27/1990","Palm Springs","California","USA",R,L,"6-01",170,"Good Shepherd Cemetery","Huntington Beach","California","USA",,,,,NOT
frenb101,French,"William Henry","Bill","1849","Baltimore","Maryland","USA","04/14/1873","06/30/1873",,,,,,,"05/31/1893","Baltimore","Maryland","USA",,,,,,,,,,,,,NOT
frenc101,French,"Charles Calvin","Charlie","10/12/1883","Indianapolis","Indiana","USA","05/23/1909","09/13/1910",,,,,,,"03/30/1962","Indianapolis","Indiana","USA",L,R,"5-06",140,"Washington Park East Cemetery","Indianapolis","Indiana","USA",,,,,NOT
frenj101,French,"Richard James","Jim","08/13/1941","Warren","Ohio","USA","09/12/1965","05/14/1971",,,,,,,,,,,L,R,"5-08",180,,,,,,,,,NOT
frenl001,French,"Lucas Stephen","Lucas","09/13/1985","Salina","Kansas","USA","05/15/2009","10/01/2010",,,,,,,,,,,L,L,"6-04",220,,,,,,,,,NOT
frenl101,French,"Lawrence Herbert","Larry","11/01/1907","Visalia","California","USA","04/18/1929","09/26/1942",,,,,,,"02/09/1987","San Diego","California","USA",R,L,"6-01",195,"Visalia Cemetery","Visalia","California","USA",,,,,NOT
frenp101,French,"Frank Alexander","Pat","09/22/1893","Dover","New Hampshire","USA","07/02/1917","07/04/1917",,,,,,,"07/13/1969","Bath","Maine","USA",R,R,"6-01",180,"Pine Hill Cemetery","Dover","New Hampshire","USA",,,,,NOT
frenr101,French,"Raymond Edward","Ray","01/09/1895","Alameda","California","USA","09/17/1920","07/10/1924",,,,,,,"04/03/1978","Alameda","California","USA",R,R,"5-09.5",158,"Holy Sepulchre Cemetery","Hayward","California","USA",,,,,NOT
frenw101,French,"Walter Edward","Walt","07/12/1899","Moorestown","New Jersey","USA","09/15/1923","10/14/1929",,,,,,,"05/13/1984","Mountain Home","Arkansas","USA",L,R,"5-07.5",155,"Cremated",,,,"Ashes scattered in Pacific Ocean",,,,NOT
freyb101,Frey,"Benjamin Rudolph","Benny","04/06/1906","Dexter","Michigan","USA","09/18/1929","09/22/1936",,,,,,,"11/01/1937","Spring Arbor Township","Michigan","USA",R,R,"5-10",165,"Woodland Cemetery","Jackson","Michigan","USA",,,,,NOT
freyl101,Frey,"Linus Reinhard","Lonny","08/23/1910","St. Louis","Missouri","USA","08/29/1933","09/28/1948",,,,,,,"09/13/2009","Coeur d'Alene","Idaho","USA",L,R,"5-10",160,"Sunset Hills Memorial Park","Bellevue","Washington","USA",,,,,NOT
freys001,Frey,"Steven Francis","Steve","07/29/1963","Meadowbrook","Pennsylvania","USA","05/10/1989","08/02/1996",,,,,,,,,,,R,L,"5-09",170,,,,,,,,,NOT
friac001,Frias,"Carlos David","Carlos","11/13/1989","Nagua","Maria Trinidad Sanchez","Dominican Republic","08/04/2014","07/07/2016",,,,,,,,,,,R,R,"6-04",170,,,,,,,,,NOT
friah001,Frias,"Hanley (Acevedo)","Hanley","12/05/1973","Villa Altagracia","San Cristobal","Dominican Republic","06/21/1997","10/01/2000",,,,,,,,,,,B,R,"6-00",160,,,,,,,,,NOT
frial001,Frias,"Luis David","Luis","05/23/1998","Rio San Juan","Maria Trinidad Sanchez","Dominican Republic","09/19/2021","10/02/2021",,,,,,,,,,,R,R,"6-03",245,,,,,,,,,
friap101,Frias,"Jesus Maria (Andujar)","Pepe","07/14/1948","San Pedro de Macoris","Macoris","Dominican Republic","04/06/1973","08/26/1981",,,,,,,,,,,R,R,"5-10",159,,,,,,,,,NOT
fribb101,Friberg,"Bernard Albert","Bernie","08/18/1899","Manchester","New Hampshire","USA","08/20/1919","06/27/1933",,,,,,,"12/08/1958","Lynn","Massachusetts","USA",R,R,"5-11",178,"Pine Grove Cemetery","Lynn","Massachusetts","USA",,"Augustaf Bernhardt Friberg",,,NOT
fricm101,Fricano,"Marion John","Marion","07/15/1923","Brant","New York","USA","09/06/1952","08/07/1955",,,,,,,"05/18/1976","Tijuana","Baja California","Mexico",R,R,"6-00",170,"Holy Spirit Cemetery","North Collins","New York","USA",,,,,NOT
fridj101,Fridley,"James Riley","Jim","09/06/1924","Phillippi","West Virginia","USA","04/15/1952","09/27/1958",,,,,,,"02/28/2003","Port Charlotte","Florida","USA",R,R,"6-02",205,"Cremated",,,,"Ashes retained by family",,,,NOT
frids101,Friday,"Grier William","Skipper","10/26/1897","Gastonia","North Carolina","USA","06/17/1923","08/07/1923",,,,,,,"08/25/1962","Gastonia","North Carolina","USA",R,R,"5-11",170,"Oakwood Cemetery","Gastonia","North Carolina","USA",,,,,NOT
frieb101,Frierson,"Robert Lawrence","Buck","07/29/1917","Chicota","Texas","USA","09/09/1941","09/15/1941",,,,,,,"06/26/1996","Paris","Texas","USA",R,R,"6-03",195,"Chicota Presbyterian Cemetery","Chicota","Texas","USA",,,,,NOT
frieb102,Friend,"Robert Bartmess","Bob","11/24/1930","Lafayette","Indiana","USA","04/28/1951","09/24/1966",,,,,,,,,,,R,R,"6-00",190,,,,,,,,,NOT
frieb103,Friel,"William Edward","Bill","04/01/1876","Renovo","Pennsylvania","USA","05/03/1901","09/13/1903",,,,,"06/16/1920","08/12/1920","12/24/1959","St. Louis","Missouri","USA",L,R,"5-10",165,"Resurrection Cemetery","St. Louis","Missouri","USA","Section 20A, Lot 65, Grave 7",,,,NOT
frieb104,Friedrichs,"Robert George","Bob","08/30/1906","Cincinnati","Ohio","USA","05/17/1932","05/21/1932",,,,,,,"04/15/1997","Jasper","Indiana","USA",R,R,"5-11.5",165,"Shiloh Cemetery","Ireland","Indiana","USA",,,,,NOT
friec001,Friedrich,"Christian Louis Patrick","Christian","07/08/1987","Evanston","Illinois","USA","05/09/2012","09/29/2016",,,,,,,,,,,R,L,"6-04",215,,,,,,,,,NOT
friec101,Fried,"Arthur Edwin","Cy","07/23/1897","San Antonio","Texas","USA","09/17/1920","09/23/1920",,,,,,,"10/09/1970","San Antonio","Texas","USA",L,L,"5-11.5",150,"Sunset Memorial Park","San Antonio","Texas","USA",,,,,NOT
fried101,Friend,"Daniel Sebastian","Danny","04/18/1873","Cincinnati","Ohio","USA","09/10/1895","05/08/1898",,,,,,,"06/01/1942","Chillicothe","Ohio","USA",L,L,"5-09",175,"Greenlawn Cemetery","Chillicothe","Ohio","USA",,,,,NOT
friee001,Frieri,"Ernesto (Gutierrez)","Ernesto","07/19/1985","Arjona","Bolivar","Colombia","09/26/2009","07/03/2017",,,,,,,,,,,R,R,"6-02",200,,,,,,,,,NOT
frief101,Freund,"Lawrence Joseph","Lentz","07/05/1875","Jeffersonville","Indiana","USA","08/02/1896","08/03/1896",,,,,,,"11/04/1933","Jeffersonville","Indiana","USA",,R,"5-10",180,"Walnut Ridge Cemetery","Jeffersonville","Indiana","USA",,,,,NOT
friem001,Fried,"Max Dorian","Max","01/18/1994","Santa Monica","California","USA","08/08/2017","11/02/2021",,,,,,,,,,,L,L,"6-04",200,,,,,,,,,NOT
frieo101,Friend,"Owen Lacey","Owen","03/21/1927","Granite City","Illinois","USA","10/02/1949","05/16/1956",,,"04/08/1969","10/02/1969",,,"10/14/2007","Wichita","Kansas","USA",R,R,"6-01",180,"Cremated, interred in Ascension Cemetery","Bel Aire","Kansas","USA",,,,,NOT
friep101,Fries,"Peter Martin","Pete","10/30/1857","Scranton","Pennsylvania","USA","08/10/1883","05/16/1884",,,,,,,"07/29/1937","Chicago","Illinois","USA",L,L,"5-08",160,"Oak Woods Cemetery","Chicago","Illinois","USA",,,,,NOT
friep102,Friel,"Patrick Henry","Pat","06/11/1858","Lewisburg","West Virginia","USA","07/13/1890","04/09/1891",,,,,,,"01/15/1924","Providence","Rhode Island","USA",B,,"5-11",170,"St. Francis Cemetery","Pawtucket","Rhode Island","USA",,,,,NOT
friet001,Friedl,"Terry Lee","TJ","08/14/1995","Sewickley","Pennsylvania","USA","09/18/2021","10/03/2021",,,,,,,,,,,L,L,"5-10",180,,,,,,,,,
frilj101,Frill,"John Edmond","John","04/03/1879","Reading","Pennsylvania","USA","04/16/1910","08/21/1912",,,,,,,"09/28/1918","Westerly","Rhode Island","USA",R,L,"5-10.5",170,"River Bend Cemetery","Westerly","Rhode Island","USA",,,,,NOT
frinf101,Frink,"Frederick Ferdinand","Fred","08/25/1911","Macon","Georgia","USA","07/01/1934","07/14/1934",,,,,,,"05/19/1995","Miami Springs","Florida","USA",R,R,"6-01",180,"Woodlawn Park South Cemetery","Miami","Florida","USA",,,,,NOT
frisc101,Frisbee,"Charles Augustus","Charlie","02/02/1874","Dows","Iowa","USA","06/22/1899","05/13/1900",,,,,,,"11/07/1954","Iowa Falls","Iowa","USA",B,R,"5-09",175,"Alden Cemetery","Alden","Iowa","USA","Section 4, Plot 129",,,,NOT
frisd101,Frisella,"Daniel Vincent","Danny","03/04/1946","San Francisco","California","USA","07/27/1967","09/23/1976",,,,,,,"01/01/1977","Phoenix","Arizona","USA",L,R,"6-00",185,"Cremated",,,,"Ashes scattered on his duck hunting property",,,,NOT
frise101,Frisk,"John Emil","Emil","10/15/1874","Kalkaska","Michigan","USA","09/02/1899","04/23/1907",,,,,,,"01/27/1922","Seattle","Washington","USA",L,R,"6-01",190,"Lake View Cemetery","Seattle","Washington","USA",,,,,NOT
frisf101,Frisch,"Frank Francis","Frankie","09/09/1897","Bronx","New York","USA","06/17/1919","08/05/1937","7/25/1933","07/21/1951","04/19/1949","06/13/1949",,,"03/12/1973","Wilmington","Delaware","USA",B,R,"5-11",165,"Woodlawn Cemetery","Bronx","New York","USA","Sec. 90/91, Birch Hill Plot, Lot 12092",,,,HOF
fritc101,Fritz,"Charles Cornelius","Charlie","06/13/1882","Mobile","Alabama","USA","10/05/1907","10/05/1907",,,,,,,"07/30/1943","Mobile","Alabama","USA",,L,,,"Magnolia Cemetery","Mobile","Alabama","USA",,,,,NOT
frith101,Fritz,"Harry Koch","Harry","09/30/1890","Philadelphia","Pennsylvania","USA","09/29/1913","09/18/1915",,,,,,,"11/04/1974","Upper Arlington","Ohio","USA",R,R,"5-08",170,"Green Lawn Cemetery","Columbus","Ohio","USA",,,,,NOT
fritl101,Fritz,"Laurence Joseph","Larry","02/14/1949","East Chicago","Indiana","USA","05/30/1975","05/30/1975",,,,,,,"07/22/2010","Munster","Indiana","USA",L,L,"6-02",225,"Concordia Cemetery","Hammond","Indiana","USA",,,,,NOT
froab101,Froats,"William John","Bill","10/20/1930","New York","New York","USA","04/22/1955","04/22/1955",,,,,,,"02/09/1998","Minneapolis","Minnesota","USA",L,L,"6-00",180,"Cemetery of the Gate of Heaven","Hawthorne","New York","USA","Cremated",,,,NOT
frobd001,Frobel,"Douglas Steven","Doug","06/06/1959","Ottawa","Ontario","Canada","09/05/1982","08/23/1987",,,,,,,,,,,L,R,"6-04",196,,,,,,,,,NOT
frocs101,Frock,"Samuel William","Sam","12/23/1882","Baltimore","Maryland","USA","09/21/1907","05/06/1911",,,,,,,"11/03/1925","Baltimore","Maryland","USA",R,R,"6-00",168,"Loudon Park Cemetery","Baltimore","Maryland","USA",,,,,NOT
froeb101,Froehlich,"Albert George","Al","01/02/1885","Brooklyn","New York","USA","07/02/1909","07/02/1909",,,,,,,"03/15/1941","Brooklyn","New York","USA",R,R,,,"Cremated",,,,,,,,NOT
froht001,Frohwirth,"Todd Gerard","Todd","09/28/1962","Milwaukee","Wisconsin","USA","08/10/1987","05/27/1996",,,,,,,"03/26/2017","Waukesha","Wisconsin","USA",R,R,"6-04",190,"Prairie Home Cemetery","Waukesha","Wisconsin","USA",,,,,NOT
froma101,Fromme,"Arthur Henry","Art","09/03/1883","Quincy","Illinois","USA","09/14/1906","05/07/1915",,,,,,,"08/24/1956","Los Angeles","California","USA",R,R,"6-00",178,"Rose Hills Memorial Park","Whittier","California","USA",,,,,NOT
frosd101,Frost,"Carl David","Dave","11/17/1952","Long Beach","California","USA","09/11/1977","10/03/1982",,,,,,,,,,,R,R,"6-06",235,,,,,,,,,NOT
frute001,Fruto,"Emiliano Ricardo","Emiliano","06/06/1984","Cartagena","Bolivar","Colombia","05/14/2006","09/29/2006",,,,,,,,,,,R,R,"6-03",235,,,,,,,,,NOT
fryec101,Frye,"Charlie Andrew","Charlie","07/17/1913","Hickory","North Carolina","USA","07/28/1940","09/22/1940",,,,,,,"05/25/1945","Hickory","North Carolina","USA",R,R,"6-01",175,"Friendship Lutheran Church Cemetery","Taylorsville","North Carolina","USA",,,,,NOT
fryee001,Fryer,"Eric Joseph","Eric","08/26/1985","Columbus","Ohio","USA","06/26/2011","07/20/2017",,,,,,,,,,,R,R,"6-02",215,,,,,,,,,NOT
fryej001,Frye,"Jeffrey Dustin","Jeff","08/31/1966","Oakland","California","USA","07/09/1992","09/20/2001",,,,,,,,,,,R,R,"5-09",180,,,,,,,,,NOT
fry-j001,Fry,"Jace Hayden","Jace","07/09/1993","Beaverton","Oregon","USA","09/05/2017","09/21/2021",,,,,,,,,,,L,L,"6-01",190,,,,,,,,,NOT
fry-j101,Fry,"Johnson","Johnson","11/21/1901","Huntington","West Virginia","USA","08/24/1923","08/24/1923",,,,,,,"04/07/1959","Carmi","Illinois","USA",R,R,"6-01",150,"Spring Hill Cemetery","Huntington","West Virginia","USA",,,,,NOT
fry-j102,Fry,"Jerry Ray","Jerry","02/29/1956","Salinas","California","USA","09/04/1978","09/09/1978",,,,,,,,,,,R,R,"6-00",185,,,,,,,,,NOT
frymt001,Fryman,"David Travis","Travis","03/25/1969","Lexington","Kentucky","USA","07/07/1990","09/29/2002",,,,,,,,,,,R,R,"6-01",180,,,,,,,,,NOT
frymw101,Fryman,"Woodrow Thompson","Woodie","04/12/1940","Ewing","Kentucky","USA","04/15/1966","07/28/1983",,,,,,,"02/04/2011","Lexington","Kentucky","USA",R,L,"6-03",197,"Elizaville Cemetery","Elizaville","Kentucky","USA",,,,,NOT
fry-p001,Fry,"Paul Raymond","Paul","07/26/1992","Pontiac","Michigan","USA","06/29/2018","08/29/2021",,,,,,,,,,,L,L,"6-00",190,,,,,,,,,NOT
fuchc101,Fuchs,"Charles Thomas","Charlie","11/18/1913","Union City","New Jersey","USA","04/17/1942","08/05/1944",,,,,,,"06/10/1969","Weehawken","New Jersey","USA",B,R,"5-08",168,"George Washington Memorial Park","Paramus","New Jersey","USA",,,,,NOT
fuenb001,Fuentes,"Brian Christopher","Brian","08/09/1975","Merced","California","USA","06/02/2001","08/08/2012",,,,,,,,,,,L,L,"6-04",220,,,,,,,,,NOT
fuenj001,Fuentes,Joshua Luis,Josh,02/19/1993,Rancho Santa Margarita,California,USA,04/06/2019,"09/07/2021",,,,,,,,,,,R,R,"6-02",209,,,,,,,,,
fuenm001,Fuentes,"Michael Jay","Mike","06/11/1958","Miami","Florida","USA","09/02/1983","09/21/1984",,,,,,,,,,,R,R,"6-03",190,,,,,,,,,NOT
fuenm101,Fuentes,"Miguel (Pinet)","Miguel","05/10/1946","Loiza Aldea",,"Puerto Rico","09/01/1969","10/02/1969",,,,,,,"01/29/1970","Loiza Aldea",,"Puerto Rico",R,R,"6-00",160,,,,,,,,,NOT
fuenr001,Fuentes,"Reymond L.","Reymond","02/12/1991","Orlando","Florida","USA","08/26/2013","09/30/2017",,,,,,,,,,,L,L,"6-00",160,,,,,,,,,NOT
fuent101,Fuentes,"Rigoberto (Peat)","Tito","01/04/1942","Havana",,"Cuba","08/18/1965","07/09/1978",,,,,,,,,,,B,R,"5-11",175,,,,,,,,,NOT
fuhro101,Fuhrman,"Alfred George","Ollie","07/20/1896","Jordan","Minnesota","USA","04/13/1922","05/12/1922",,,,,,,"01/11/1969","Peoria","Illinois","USA",B,R,"5-11",185,"Spirit Hill Cemetery","Jordan","Minnesota","USA",,,,,NOT
fuhro102,Fuhr,"Oscar Lawrence","Oscar","08/22/1893","Defiance","Missouri","USA","04/19/1921","09/26/1925",,,,,,,"03/29/1975","Dallas","Texas","USA",L,L,"6-00.5",176,"Laurel Land Memorial Park","Dallas","Texas","USA",,,,,NOT
fujik001,Fujikawa,"Kyuji","Kyuji","07/21/1980","Kochi","Kochi","Japan","04/01/2013","05/15/2015",,,,,,,,,,,L,R,"6-00",190,,,,,,,,,NOT
fukuk001,Fukudome,"Kosuke","Kosuke","04/26/1977","Kagoshima","Kagoshima","Japan","03/31/2008","06/03/2012",,,,,,,,,,,L,R,"6-00",190,,,,,,,,,NOT
fukuk002,Fukumori,"Kazuo","Kazuo","08/04/1976","Miyakonojo","Miyazaki","Japan","03/31/2008","04/24/2008",,,,,,,,,,,R,R,"6-00",175,,,,,,,,,NOT
fulcj001,Fulchino,"Jeffrey Joseph","Jeff","11/26/1979","Titusville","Florida","USA","06/22/2006","09/12/2011",,,,,,,,,,,R,R,"6-05",252,,,,,,,,,NOT
fulds001,Fuld,"Samuel Babson","Sam","11/20/1981","Durham","New Hampshire","USA","09/05/2007","10/04/2015",,,,,,,,,,,L,L,"5-10",185,,,,,,,,,NOT
fulgd101,Fulghum,"James Lavoisier","Dot","07/04/1900","Valdosta","Georgia","USA","09/15/1921","09/24/1921",,,,,,,"11/02/1947","Miami","Florida","USA",R,R,"5-08.5",165,"St. John Cemetery","Pensacola","Florida","USA","Block 2 North, Section 27, Lot 6",,,,NOT
fulgj101,Fulgham,"John Thomas","John","06/09/1956","St. Louis","Missouri","USA","06/19/1979","08/27/1980",,,,,,,,,,,R,R,"6-02",205,,,,,,,,,NOT
fullb001,Fullmer,"Bradley Ryan","Brad","01/17/1975","Chatsworth","California","USA","09/02/1997","07/24/2004",,,,,,,,,,,L,R,"6-01",185,,,,,,,,,NOT
fullc101,Fullis,"Charles Philip","Chick","02/27/1901","Girardville","Pennsylvania","USA","04/13/1928","09/26/1936",,,,,,,"03/28/1946","Ashland","Pennsylvania","USA",R,R,"5-09",170,"Odd Fellows Cemetery","Tamaqua","Pennsylvania","USA",,,,,NOT
fullc102,Fullerton,"Curtis Hooper","Curt","09/13/1898","Ellsworth","Maine","USA","04/14/1921","09/23/1933",,,,,,,"01/09/1975","Winthrop","Massachusetts","USA",L,R,"6-00",162,"Winthrop Cemetery","Winthrop","Massachusetts","USA",,,,,NOT
fulle101,Fuller,"Edward Aston White","Ed","03/22/1869","Washington","D.C.","USA","07/17/1886","07/22/1886",,,,,,,"03/15/1935","Hyattsville","Maryland","USA",R,R,"6-00",158,"Fort Lincoln Cemetery","Brentwood","Maryland","USA",,,,,NOT
fullf101,Fuller,"Frank Edward","Frank","01/01/1894","Detroit","Michigan","USA","04/14/1915","10/07/1923",,,,,,,"10/29/1965","Warren","Michigan","USA",B,R,"5-07",150,"Mount Olivet Cemetery","Detroit","Michigan","USA",,,,,NOT
fullh101,Fuller,"Henry W.","Harry","12/05/1862","Cincinnati","Ohio","USA","09/19/1891","09/19/1891",,,,,,,"12/12/1895","Cincinnati","Ohio","USA",,,"5-08",160,"St. Joseph Old Cemetery","Cincinnati","Ohio","USA",,,,,NOT
fullj101,Fuller,"John Edward","John","01/29/1950","Lynwood","California","USA","05/09/1974","05/12/1974",,,,,,,,,,,L,L,"6-02",180,,,,,,,,,NOT
fullj102,Fuller,"James Hardy","Jim","11/28/1950","Bethesda","Maryland","USA","09/10/1973","09/25/1977",,,,,,,,,,,R,R,"6-03",215,,,,,,,,,NOT
fulln101,Fuller,"Charles F.","Nig","03/30/1878","Toledo","Ohio","USA","07/01/1902","07/12/1902",,,,,,,"03/01/1937","Toledo","Ohio","USA",R,R,"5-11",165,"Toledo Memorial Park Cemetery","Sylvania","Ohio","USA",,"Charles F. Furrer",,,NOT
fulls101,Fuller,"William Benjamin","Shorty","10/10/1867","Cincinnati","Ohio","USA","07/19/1888","06/02/1896",,,,,,,"04/11/1904","Cincinnati","Ohio","USA",R,R,"5-06",157,"St. Joseph Old Cemetery","Cincinnati","Ohio","USA",,,,,NOT
fullv101,Fuller,"Vernon Gordon","Vern","03/01/1944","Menomonie","Wisconsin","USA","09/05/1964","10/01/1970",,,,,,,,,,,R,R,"6-01",170,,,,,,,,,NOT
fulmc001,Fulmer,"Carson Springer","Carson","12/13/1993","Lakeland","Florida","USA","07/17/2016","05/20/2021",,,,,,,,,,,R,R,"6-00",195,,,,,,,,,NOT
fulmc101,Fulmer,"Christopher","Chris","07/04/1858","Tamaqua","Pennsylvania","USA","08/04/1884","06/27/1889",,,,,"06/10/1887","08/10/1887","11/09/1931","Tamaqua","Pennsylvania","USA",R,R,"5-08",165,"New St. Jerome Cemetery","Tamaqua","Pennsylvania","USA",,,,,NOT
fulmc102,Fulmer,"Charles John","Chick","02/13/1851","Philadelphia","Pennsylvania","USA","06/05/1871","08/16/1884",,,,,"08/27/1872","08/13/1888","02/15/1940","Philadelphia","Pennsylvania","USA",R,R,"6-00",158,"Fernwood Cemetery","Fernwood, Delaware County","Pennsylvania","USA",,,,,NOT
fulmm001,Fulmer,"Michael Joseph","Michael","03/15/1993","Oklahoma City","Oklahoma","USA","04/29/2016","10/03/2021",,,,,,,,,,,R,R,"6-03",210,,,,,,,,,NOT
fulmw101,Fulmer,"Washington Fayette","Washington","06/15/1840","Philadelphia","Pennsylvania","USA","07/19/1875","07/19/1875",,,,,,,"12/08/1907","Philadelphia","Pennsylvania","USA",,,"5-09",180,"Fernwood Cemetery","Fernwood, Delaware County","Pennsylvania","USA",,,,,NOT
fulta001,Fultz,"Richard Aaron","Aaron","09/04/1973","Memphis","Tennessee","USA","04/05/2000","10/12/2007",,,,,,,,,,,L,L,"6-00",196,,,,,,,,,NOT
fultb001,Fulton,"William David","Bill","10/22/1963","Pittsburgh","Pennsylvania","USA","09/12/1987","09/28/1987",,,,,,,,,,,R,R,"6-03",195,,,,,,,,,NOT
fultd101,Fultz,"David Lewis","Dave","05/29/1875","Staunton","Virginia","USA","07/01/1898","09/30/1905",,,,,,,"10/29/1959","Deland","Florida","USA",R,R,"5-11",170,"Oakdale Cemetery","Deland","Florida","USA",,,,,NOT
fundm001,Funderburk,"Mark Clifford","Mark","05/16/1957","Charlotte","North Carolina","USA","09/04/1981","10/05/1985",,,,,,,,,,,R,R,"6-04",226,,,,,,,,,NOT
funkf101,Funk,"Franklin Ray","Frank","08/30/1935","Washington","D.C.","USA","09/03/1960","09/22/1963",,,"04/09/1976","09/27/1998",,,,,,,R,R,"6-00",175,,,,,,,,,NOT
funkk001,Funkhouser,"Kyle James","Kyle","03/16/1994","Palos Heights","Illinois","USA","07/27/2020","10/02/2021",,,,,,,,,,,R,R,"6-03",225,,,,,,,,,
funkl101,Funk,"Elias Calvin","Liz","10/28/1904","La Cygne","Kansas","USA","04/26/1929","05/20/1933",,,,,,,"01/16/1968","Norman","Oklahoma","USA",L,L,"5-08.5",160,"Fairlawn Cemetery","Oklahoma City","Oklahoma","USA","Grave Is Unmarked",,,,NOT
funkt001,Funk,"Thomas James","Tom","03/13/1962","Kansas City","Missouri","USA","07/24/1986","08/23/1986",,,,,,,,,,,L,L,"6-02",210,,,,,,,,,NOT
furbc001,Furbush,"Charles Roderick","Charlie","04/11/1986","South Portland","Maine","USA","05/23/2011","07/07/2015",,,,,,,,,,,L,L,"6-05",215,,,,,,,,,NOT
furcr001,Furcal,"Rafael","Rafael","10/24/1977","Loma de Cabrera","Dajabon","Dominican Republic","04/04/2000","06/21/2014",,,,,,,,,,,B,R,"5-10",150,,,,,,,,,NOT
furic101,Furillo,"Carl Anthony","Carl","03/08/1922","Stony Creek Mills","Pennsylvania","USA","04/16/1946","05/07/1960",,,,,,,"01/21/1989","Stony Creek Mills","Pennsylvania","USA",R,R,"6-00",190,"Forest Hills Memorial Park","Reiffton","Pennsylvania","USA","Block J, Lot 266, Grave A",,,,NOT
furmj001,Furmaniak,"Jason Joseph","J.J.","07/31/1979","Naperville","Illinois","USA","09/13/2005","09/29/2007",,,,,,,,,,,R,R,"5-11",185,,,,,,,,,NOT
fussc001,Fussell,"Christopher Wren","Chris","05/19/1976","Oregon","Ohio","USA","09/15/1998","10/01/2000",,,,,,,,,,,R,R,"6-02",185,,,,,,,,,NOT
fusse101,Fusselback,"Edward L.","Eddie","07/17/1856","Philadelphia","Pennsylvania","USA","05/03/1882","08/28/1888",,,,,,,"04/14/1926","Philadelphia","Pennsylvania","USA",R,,"5-06",156,"Philadelphia Memorial Park","Frazer","Pennsylvania","USA","Removed from American Mechanics Cemetery in 1951",,,,NOT
fussf101,Fussell,"Frederick Morris","Fred","10/07/1895","Sheridan","Missouri","USA","09/23/1922","09/29/1929",,,,,,,"10/23/1966","Syracuse","New York","USA",L,L,"5-10",155,"Geneva Cemetery","Geneva","Nebraska","USA",,,,,NOT
fussl101,Fusselman,"Lester Leroy","Les","03/07/1921","Pryor","Oklahoma","USA","04/16/1952","06/12/1953",,,,,,,"05/21/1970","Cleveland","Ohio","USA",R,R,"6-01",195,"Acacia Masonic Memorial Park","Mayfield Heights","Ohio","USA",,,,,NOT
fyhrm001,Fyhrie,"Michael Edwin","Mike","12/09/1969","Long Beach","California","USA","09/14/1996","09/28/2002",,,,,,,,,,,R,R,"6-02",190,,,,,,,,,NOT
gabbk001,Gabbard,"Kason Ronald","Kason","04/08/1982","Oxford","Ohio","USA","07/22/2006","06/27/2008",,,,,,,,,,,L,L,"6-03",200,,,,,,,,,NOT
gabia001,Gabino,"Armando Leisdeker (Garcia)","Armando","08/31/1983","Santiago","Santiago","Dominican Republic","08/25/2009","08/26/2010",,,,,,,,,,,R,R,"6-03",210,,,,,,,,,NOT
gablf101,Gabler,"Frank Harold","Frank","11/06/1911","East Highland","California","USA","04/19/1935","09/29/1938",,,,,,,"11/01/1967","Long Beach","California","USA",R,R,"6-01",175,"Cremated",,,,,,,,NOT
gablg101,Gabler,"William Louis","Gabe","08/04/1930","St. Louis","Missouri","USA","09/16/1958","09/21/1958",,,,,,,"01/04/2014","St. Louis","Missouri","USA",L,R,"6-01",190,"Cremated",,,,,,,,NOT
gablg102,Gabler,"John Richard","John","10/02/1930","Kansas City","Missouri","USA","09/18/1959","09/17/1961",,,,,,,"02/07/2009","Overland Park","Kansas","USA",B,R,"6-02",165,"Monticello Union Cemetery","Shawnee","Kansas","USA",,,,,NOT
gablk101,Gables,"Kenneth Harlin","Ken","01/31/1919","Walnut Grove","Missouri","USA","04/18/1945","04/20/1947",,,,,,,"01/02/1960","Walnut Grove","Missouri","USA",R,R,"5-11",210,"Rose Hill Cemetery","Willard","Missouri","USA",,,,,NOT
